,STAID,STANAME,CLASS,STATE,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
921,09057500,"BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO.",Non-ref,CO,77006776,0.00024915666666913694,1494.94,1494.942711184371,0.0001813574037110007,excellent,0
1982,02387500,"OOSTANAULA RIVER AT RESACA, GA",Non-ref,GA,73011126,0.00044587089492050414,4153.317,4153.307263397121,0.0002344295626713966,excellent,0
2617,01613000,"POTOMAC RIVER AT HANCOCK, MD",Non-ref,MD,73005077,0.0008888933333395244,10556.82,10556.87987220085,0.0005671423861617874,excellent,0
1972,03421000,"COLLINS RIVER NEAR MCMINNVILLE, TN",Non-ref,TN,74054427,4.941333331487385e-05,1664.06,1664.0482720200132,0.0007047810768088101,excellent,0
2305,01541000,"West Branch Susquehanna River at Bower, PA",Non-ref,PA,73005411,0.00013262259088204654,817.7463,817.7559595886023,0.0011812451615237707,excellent,0
772,09302000,"DUCHESNE RIVER NEAR RANDLETT, UT",Non-ref,UT,77006285,0.00012241196895091528,9771.918,9771.789811076344,0.001311809244163997,excellent,0
1063,06468170,"JAMES RIVER NR GRACE CITY, ND",Ref,ND,74001449,0.0001184403858662441,2809.098,2809.172469033784,0.002650994510843899,excellent,0
512,13190500,SF BOISE RIVER AT ANDERSON RANCH DAM ID,Non-ref,ID,78024476,0.00036264666668728296,2532.608,2532.719540992,0.004404194885266317,excellent,0
783,09364500,"ANIMAS RIVER AT FARMINGTON, NM",Non-ref,NM,77021133,0.000351683333320807,3545.659,3545.8209700574766,0.0045681228081024565,excellent,0
1551,07067000,"Current River at Van Buren, MO",Ref,MO,74053771,0.0002888866666808099,4349.011,4349.224483264406,0.004908777292263057,excellent,0
2278,02323500,"SUWANNEE RIVER NEAR WILCOX, FLA.",Non-ref,FL,73020341,0.0009868700000055242,25078.26,25076.795737566612,0.005838772041547006,excellent,0
1516,05422000,"Wapsipinicon River near De Witt, IA",Non-ref,IA,74022710,0.0003385554540539379,6049.042,6049.437491410928,0.0065380834010940365,excellent,0
2006,02414500,TALLAPOOSA RIVER AT WADLEY AL,Non-ref,AL,73014448,4.587333333461174e-05,4336.82,4336.5196117261385,0.006926463949650775,excellent,0
1417,05455700,"Iowa River near Lone Tree, IA",Non-ref,IA,74029076,0.0005055666666891057,11127.56,11126.68607550334,0.007853693861547708,excellent,0
1055,08190000,"Nueces Rv at Laguna, TX",Ref,TX,75018147,0.0006037914093817794,1961.433,1961.2733632508239,0.008138781654847028,excellent,0
